CB Constituent ID,CB Constituent Type,CB First Name,CB Last Name,CB Company Name,CB Created At,CB Email 1 (Standardized),CB Email 2 (Standardized),CB Title,CB Tags,CB Background Information,CB Lifetime Donation Amount,CB Most Recent Donation Date,CB Most Recent Donation Amount
8977,Person,James,Baker,,2020-01-19 00:00:00,walkerjeremy@long.org,hfoster@yahoo.com,Dr.,Student Scholar,,,,
2798,Person,Jessica,Sheppard,,2019-08-20 00:00:00,tarasanchez@robinson.com,cgreen@hotmail.com,Mr.,"Summer School 2016, Top Donor",Job Title: Graphic Designer,,,
3660,Company,,,Vaughn LLC,2018-03-20 00:00:00,wcochran@hotmail.com,dhays@ellison-anderson.org,,Summer School 2016,,,,
5966,Person,Jared,Burns,,2024-04-24 00:00:00,frazierjanice@gmaill.com,amiller@keller.biz,Dr.,"Pitch Perfect Staff, Major Donor 2021",Job Title: Administrative Assistant,"$13,100.00",2024-02-14 00:00:00,"$10,000.00"
5034,Person,courtney,haney,,2017-07-02 00:00:00,,,Mr.,"Pitch Perfect Volunteer, Pitch Perfect Staff",,"$1,500.00",2022-07-25 00:00:00,$250.00
5287,Company,,,Retired,2021-10-30 00:00:00,theodorewilson@blair.com,normantravis@greer.com,,"Top Donor, Student Scholar, Board Member",,"$9,000.00",2023-08-15 00:00:00,"$5,000.00"
8101,Person,James,Pope,,2019-05-09 00:00:00,howardcarlos@gmail.com,,Ms.,,Job Title: Sales Executive,"$4,500.00",2023-04-02 00:00:00,$500.00
8548,Person,Nicholas,Cooper,,2022-09-25 00:00:00,laurenfields@yahoo.com,lmiller@hotmail.com,,"Summer School 2016, Pitch Perfect Staff, Board Member",,"$6,500.00",2022-01-01 00:00:00,$500.00
7040,Person,Patrick,Woods,,2022-04-19 00:00:00,vanessa45@yaho.com,,,Summer School 2016,,$100.00,2024-07-25 00:00:00,$100.00
6523,Person,Michele,Burton,,2016-12-31 00:00:00,browneric@patton.biz,,Mr.,"Major Donor 2021, Top Donor, Camp 2016",,,,
9432,Company,,,"Green, Evans and Evans",2021-02-13 00:00:00,joshuaparker@hotmal.com,cynthiaholmes@brennan.com,,"Summer School 2016, Student Scholar",Job Title: Marketing Manager,"$15,000.00",2019-06-20 00:00:00,"$10,000.00"
3194,Person,David,Villanueva,,2022-12-16 00:00:00,collierdiana@ortiz.com,,,"Camp 2016, Pitch Perfect Volunteer, Student Scholar",Job Title: Marketing Manager,"$5,050.00",2020-03-23 00:00:00,"$5,000.00"
6339,Person,Allen,Valentine,,2022-10-15 00:00:00,mckaylinda@hotmail.com,,,"Student Scholar, Major Donor 2021",Job Title: Operations Manager,"$1,500.00",2022-07-24 00:00:00,"$1,000.00"
3054,Person,cody,WRIGHT,,2022-08-05 00:00:00,yjohns@bass.com,,Dr.,"Top Donor, Board Member",,,,
9827,Person,Cynthia,Vasquez,,2021-09-12 00:00:00,ryan82@yahoo.com,clarkdeborah@mejia-holmes.com,Ms.,"Board Member, Major Donor 2021",Job Title: Business Analyst,"$1,250.00",2024-12-26 00:00:00,"$1,000.00"
1288,Person,Rebecca,Maynard,,2021-06-23 00:00:00,fsteele@hotmail.com,ellendavis@smith.com,Mrs.,"Summer School 2016, Major Donor 2021",Job Title: Data Scientist,$700.00,2023-04-01 00:00:00,$100.00
5032,Company,,,Johnson-Mills,2018-03-21 00:00:00,simpsondouglas@ortiz-miles.net,allen24@yahoo.com,,"Major Donor 2021, Major Donor 2022, Pitch Perfect Staff, Top Donor",,"$3,050.00",2021-12-13 00:00:00,$50.00
3240,Company,,,Davis-Anthony,2018-03-09 00:00:00,hartjames@hotmail.com,hhoward@silva.org,,Pitch Perfect Staff,Job Title: Nurse Practitioner,"$2,000.00",2020-09-16 00:00:00,"$1,000.00"
8308,Person,Robert,Donovan,,2021-01-20 00:00:00,jennifernorton@hotmail.com,langtanya@gmal.com,Ms.,"Pitch Perfect Staff, Pitch Perfect Volunteer",,$500.00,2020-04-27 00:00:00,$250.00
3434,Person,Anne,Martinez,,2018-05-23 00:00:00,alejandro66@patrick-curry.biz,mooresusan@yaho.com,Dr.,"Major Donor 2021, Top Donor, Board Member",Job Title: Financial Analyst,"$1,500.00",2021-08-02 00:00:00,"$1,000.00"
5049,Person,Robert,Powers,,2017-04-02 00:00:00,sperez@martinez.com,alexanderjoseph@hotmail.com,Mrs.,"Top Donor, Camp 2016, Pitch Perfect Volunteer",,"$3,100.00",2024-08-04 00:00:00,"$3,000.00"
6846,Person,James,Nichols,,2022-02-04 00:00:00,andreahines@yahoo.com,courtneychang@hotmail.com,,"Major Donor 2021, Summer School 2016, Top Donor",,$100.00,2020-03-11 00:00:00,$100.00
6020,Person,Katherine & Dan,Johnson,,2015-12-26 00:00:00,,,,"Top Donor, Student Scholar, Pitch Perfect Staff",Job Title: UX Designer,"$5,000.00",2023-03-01 00:00:00,"$5,000.00"
4348,Company,,,Ramos PLC,2015-11-27 00:00:00,cmarshall@hobbs.net,,,"Summer School 2016, Top Donor, Student Scholar",,"$4,000.00",2020-08-20 00:00:00,"$3,000.00"
2976,Person,,,,2022-05-25 00:00:00,ssanders@hotmail.com,,,,,"$4,000.00",2024-03-17 00:00:00,"$3,000.00"
8309,Company,,,Stephenson Ltd,2021-07-20 00:00:00,,,,"Board Member, Camp 2016",Job Title: Nurse Practitioner,$150.00,2020-11-10 00:00:00,$50.00
9859,Person,james,BURNS,,2015-06-24 00:00:00,michael43@hall-lee.com,harperluke@gmail.com,Dr.,"Top Donor, Pitch Perfect Volunteer",Job Title: Administrative Assistant,"$3,050.00",2019-12-12 00:00:00,"$3,000.00"
5301,Person,Maureen,Weber,,2021-08-09 00:00:00,corey36@gmail.com,zacharywilliams@hotmail.com,,"Pitch Perfect Staff, Top Donor, Summer School 2016, VIP",Job Title: Business Analyst,"$20,000.00",2022-12-24 00:00:00,"$10,000.00"
5767,Person,Chase,Pena,,2020-11-20 00:00:00,richard99@hampton.com,,,"Pitch Perfect Volunteer, Tag Test, Major Donor 2021",Job Title: Graphic Designer,"$5,350.00",2024-12-20 00:00:00,$250.00
4926,Person,Joshua,Rush,,2018-03-20 00:00:00,,,,,,"$10,600.00",2020-04-17 00:00:00,$100.00
1089,Person,Erica,Simmons,,2016-04-16 00:00:00,samantha08@hotmail.com,andrewsrandy@howard.com,Mrs.,"Top Donor, Student Scholar, Summer School 2016",Job Title: Business Analyst,"$1,550.00",2018-10-07 00:00:00,$500.00
